# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from agora:
# Omega_m = 0.272, Omega_l = 0.728, Omega_b = 0.0455, 
# h = 0.702, sigma_8 = 0.807, n_s = 0.961
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
326 0.578025520  0.730027437  7.271280668  6.527466215  26.2530
327 0.579617798  0.725274801  7.297530853  6.501216030  26.2502
328 0.581210196  0.720547915  7.323782000  6.474964884  26.2511
329 0.582802474  0.715847254  7.350029980  6.448716904  26.2480
330 0.584394872  0.711171746  7.376278527  6.422468356  26.2485
331 0.585987329  0.706521511  7.402526464  6.396220420  26.2479
332 0.587579608  0.701897025  7.428769666  6.369977217  26.2432
333 0.589172006  0.697297215  7.455012854  6.343734030  26.2432
334 0.590764284  0.692722559  7.481251905  6.317494978  26.2391
335 0.592356682  0.688172102  7.507490559  6.291256325  26.2387
336 0.593949020  0.683646202  7.533725679  6.265021205  26.2351
337 0.595541418  0.679144382  7.559959041  6.238787842  26.2334
338 0.597133815  0.674666524  7.586189476  6.212557407  26.2304
339 0.598726094  0.670212865  7.612414835  6.186332048  26.2254
340 0.600318491  0.665782452  7.638638860  6.160108024  26.2240
341 0.601910830  0.661375642  7.664858421  6.133888462  26.2196
342 0.603503227  0.656991959  7.691075300  6.107671583  26.2169
343 0.605095506  0.652631640  7.717286372  6.081460512  26.2111
344 0.606687903  0.648293972  7.743495380  6.055251504  26.2090
345 0.608280301  0.643978953  7.769700183  6.029046701  26.2048
346 0.609872580  0.639686823  7.795898642  6.002848242  26.1985
347 0.611464977  0.635416627  7.822094503  5.976652381  26.1959
348 0.613057315  0.631168842  7.848284649  5.950462235  26.1901
349 0.614649713  0.626942873  7.874470865  5.924276019  26.1862
350 0.616241992  0.622739196  7.900650038  5.898096845  26.1792
351 0.617834389  0.618556738  7.926825917  5.871920967  26.1759
352 0.619426787  0.614395738  7.952996369  5.845750515  26.1705
353 0.621019125  0.610256314  7.979160245  5.819586638  26.1639
354 0.622611523  0.606137991  8.005319336  5.793427547  26.1591
355 0.624203801  0.602040887  8.031470537  5.767276347  26.1512
356 0.625796199  0.597964287  8.057617597  5.741129287  26.1471
357 0.627388477  0.593908787  8.083756435  5.714990448  26.1388
358 0.628980875  0.589873433  8.109890802  5.688856082  26.1344
359 0.630573213  0.585858703  8.136017599  5.662729284  26.1268
360 0.632165611  0.581863999  8.162138621  5.636608262  26.1210
361 0.633758008  0.577889323  8.188252728  5.610494155  26.1141
362 0.635350287  0.573934913  8.214357807  5.584389076  26.1051
363 0.636942685  0.569999933  8.240457608  5.558289275  26.0998
364 0.638535023  0.566084862  8.266549043  5.532197841  26.0914
365 0.640127420  0.562188983  8.292633908  5.506112976  26.0849
366 0.641719699  0.558312774  8.318709120  5.480037764  26.0752
367 0.643312097  0.554455400  8.344778428  5.453968455  26.0693
368 0.644904494  0.550617218  8.370839729  5.427907155  26.0613
369 0.646496773  0.546798110  8.396890919  5.401855965  26.0512
370 0.648089170  0.542997599  8.422935749  5.375811135  26.0448
371 0.649681509  0.539215684  8.448971144  5.349775739  26.0354
372 0.651273906  0.535452247  8.474998906  5.323747977  26.0278
373 0.652866185  0.531707406  8.501015964  5.297730919  26.0171
374 0.654458582  0.527980566  8.527026068  5.271720815  26.0101
375 0.656050980  0.524271846  8.553027125  5.245719758  26.0011
376 0.657643318  0.520581126  8.579018018  5.219728865  25.9909
377 0.659235716  0.516908050  8.605000551  5.193746333  25.9825
378 0.660827994  0.513253093  8.630971663  5.167775220  25.9711
379 0.662420392  0.509615421  8.656935104  5.141811780  25.9634
380 0.664012671  0.505995393  8.682886846  5.115860038  25.9517
381 0.665605128  0.502392292  8.708831608  5.089915276  25.9448
382 0.667197526  0.498806477  8.734765367  5.063981517  25.9338
383 0.668789804  0.495238066  8.760687017  5.038059866  25.9217
384 0.670382202  0.491686344  8.786600306  5.012146578  25.9133
385 0.671974480  0.488151789  8.812501218  4.986245665  25.9009
386 0.673566878  0.484633565  8.838393500  4.960353384  25.8923
387 0.675159216  0.481132150  8.864274110  4.934472773  25.8806
388 0.676751614  0.477647066  8.890144857  4.908602027  25.8707
389 0.678343892  0.474178553  8.916002704  4.882744179  25.8578
390 0.679936290  0.470726013  8.941851397  4.856895487  25.8487
391 0.681528687  0.467289686  8.967688870  4.831058014  25.8375
392 0.683121026  0.463869452  8.993514031  4.805232853  25.8252
