# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from planck2015:
# Omega_m = 0.31, Omega_l = 0.69, Omega_b = 0.048,
# h = 0.68, sigma_8 = 0.82, n_s = 0.97
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
231 0.426984102  1.342007637  4.674872915  9.061343107  24.7171
232 0.428571403  1.333333492  4.699615619  9.036600404  24.7427
233 0.430158705  1.324723482  4.724383662  9.011832361  24.7680
234 0.431746006  1.316176653  4.749176782  8.987039240  24.7931
235 0.433333308  1.307692528  4.773994720  8.962221303  24.8179
236 0.434920609  1.299270153  4.798837213  8.937378809  24.8425
237 0.436507910  1.290909290  4.823704003  8.912512019  24.8668
238 0.438095212  1.282608747  4.848594830  8.887621193  24.8908
239 0.439682513  1.274368286  4.873509434  8.862706589  24.9146
240 0.441269785  1.266187429  4.898447088  8.837768934  24.9377
241 0.442857087  1.258064747  4.923408472  8.812807550  24.9614
242 0.444444388  1.250000238  4.948392859  8.787823163  24.9844
243 0.446031690  1.241993189  4.973399993  8.762816030  25.0071
244 0.447618991  1.234042883  4.998429616  8.737786406  25.0296
245 0.449206293  1.226148605  5.023481474  8.712734548  25.0519
246 0.450793713  1.218309641  5.048557194  8.687658828  25.0757
247 0.452381015  1.210525990  5.073652756  8.662563266  25.0956
248 0.453968287  1.202796936  5.098769316  8.637446706  25.1166
249 0.455555588  1.195121765  5.123907563  8.612308460  25.1382
250 0.457142889  1.187499762  5.149066772  8.587149250  25.1592
251 0.458730191  1.179930687  5.174246692  8.561969330  25.1799
252 0.460317492  1.172413588  5.199447070  8.536768953  25.2004
253 0.461904794  1.164948225  5.224667654  8.511548369  25.2206
254 0.463492095  1.157534122  5.249908193  8.486307829  25.2405
255 0.465079397  1.150170565  5.275168438  8.461047584  25.2602
256 0.466666698  1.142857075  5.300448139  8.435767883  25.2797
257 0.468254000  1.135593176  5.325747046  8.410468976  25.2989
258 0.469841301  1.128378153  5.351064911  8.385151111  25.3179
259 0.471428603  1.121212006  5.376401487  8.359814536  25.3366
260 0.473015904  1.114093781  5.401756525  8.334459498  25.3550
261 0.474603206  1.107023239  5.427129779  8.309086244  25.3733
262 0.476190507  1.099999905  5.452521003  8.283695020  25.3912
263 0.477777809  1.093023062  5.477929951  8.258286071  25.4089
264 0.479365110  1.086092472  5.503356380  8.232859642  25.4264
265 0.480952412  1.079207897  5.528800044  8.207415978  25.4437
